"","rgdp","time","time2","lnrgdp"
"1",2501.80004882812,1,1,7.82476568222046
"2",2560,2,4,7.84776258468628
"3",2715.19995117188,3,9,7.90662097930908
"4",2834,4,16,7.94944429397583
"5",2998.60009765625,5,25,8.00590038299561
"6",3191.10009765625,6,36,8.0681209564209
"7",3399.10009765625,7,49,8.13126564025879
"8",3484.60009765625,8,64,8.15610885620117
"9",3652.69995117188,9,81,8.20322227478027
"10",3765.39990234375,10,100,8.23360919952393
"11",3771.89990234375,11,121,8.2353343963623
"12",3898.60009765625,12,144,8.26837253570557
"13",4105,13,169,8.31996059417725
"14",4341.5,14,196,8.37597560882568
"15",4319.60009765625,15,225,8.37091827392578
"16",4311.2001953125,16,256,8.368971824646
"17",4540.89990234375,17,289,8.42088031768799
"18",4750.5,18,324,8.46600532531738
"19",5015,19,361,8.520188331604
"20",5173.39990234375,20,400,8.55128574371338
"21",5161.7001953125,21,441,8.54902172088623
"22",5291.7001953125,22,484,8.57389450073242
"23",5189.2998046875,23,529,8.55435371398926
"24",5423.7998046875,24,576,8.59855175018311
"25",5813.60009765625,25,625,8.66795539855957
"26",6053.7001953125,26,676,8.70842456817627
"27",6263.60009765625,27,729,8.74251079559326
"28",6475.10009765625,28,784,8.77571964263916
"29",6742.7001953125,29,841,8.81621551513672
"30",6981.39990234375,30,900,8.8510046005249
"31",7112.5,31,961,8.86960887908936
"32",7100.5,32,1024,8.86792087554932
"33",7336.60009765625,33,1089,8.90063095092773
"34",7532.7001953125,34,1156,8.92700862884521
"35",7835.5,35,1225,8.96642017364502
"36",8031.7001953125,36,1296,8.99115180969238
"37",8328.900390625,37,1369,9.02748680114746
"38",8703.5,38,1444,9.0714807510376
"39",9066.900390625,39,1521,9.11238574981689
"40",9470.2998046875,40,1600,9.15591621398926
"41",9817,41,1681,9.19187068939209
"42",9890.7001953125,42,1764,9.19935035705566
"43",10048.7998046875,43,1849,9.21520805358887
"44",10301,44,1936,9.2399959564209
"45",10675.7998046875,45,2025,9.27573490142822
"46",10989.5,46,2116,9.30469512939453
"47",11294.7998046875,47,2209,9.33209800720215
"48",11523.900390625,48,2304,9.3521785736084
