Rok;paliwa;samochody;CenaON;CenaPb;Wynagr4kw;Inflacja;DN;WynagrR;InfJ
1998;13603;9154.934;1.42;1.87;1344;1.0000;14873.88;1239.49;1.000000
1999;14005;9343.580;1.63;2.34;1856;1.0730;20480.88;1706.74;1.073000
2000;13545;9991.260;2.15;3.15;2051;1.1010;23085.72;1923.81;1.181373
2001;13697;10503.052;2.52;3.22;2152;1.055;24742.20;2061.85;1.246348
2002;13416;10983.654;2.69;3.30;2225;1.019;25598.52;2133.21;1.270029
2003;14425;11243.827;2.87;3.58;2276;1.008;26417.64;2201.47;1.280189
2004;15617;11975.191;3.09;3.91;2405;1.035;27474.84;2289.57;1.324996
2005;15830;12339.353;3.69;4.00;2528;1.021;28563.48;2380.29;1.352821
2006;17534;13384.229;3.82;3.92;2662;1.010;29726.76;2477.23;1.366349
2007;19099;14588.739;3.80;4.56;2899;1.025;32292.36;2691.03;1.400507
2008;19040;16079.533;3.92;4.33;3096;1.042;35326.56;2943.88;1.459329
2009;19600;16479.200;3.71;4.02;3243;1.035;37235.52;3102.96;1.510400
2010;20050;17156.400;4.28;4.52;3438;1.026;38699.76;3224.98;1.549676
