rok;wydatki;dochod
2000;599.49;610.51
2001;609.72;644.48 
2002;624.99;664.21 
2003;677.81;711.96 
2004;694.70;735.40 
2005;690.30;761.46 
2006;744.81;834.68 
2007;809.95;928.87 
2008;904.27;1045.52
2009;956.68;1114.49
2010;991.44;1192.82
2011;1015.12;1226.95
2012;1050.78;1278.43
2013;1061.70;1299.07
2014;1078.74;1340.44
2015;1091.19;1386.16
2016;1131.64;1474.56
2017;1176.44;1598.13
2018;1186.86;1693.46
2019;1251.73;1819.14
2020;1209.58;1919.21
2021;1316.09;2061.93
2022;1475.22;2249.79







	
	

	
	
	
	
	
	
	
	
	
	
	
	

